Name,Age,Cause
Edward F. Shuey,43.0,Gunfire
Thomas L. Brayton,40.0,Gunfire
Frank Baker,38.0,Gunfire
Milton A. Coleman,25.0,Gunfire
William Fountain Beattie,35.0,Gunfire
Seaborn J. Crook,27.0,Gunfire
Patrick M. O'Brien,32.0,Gunfire
"John Minetree, Jr.",44.0,Other
William Watts,35.0,Other
Habersham H. Harvey,30.0,Gunfire
Franklin Stone,45.0,Gunfire
Timothy Mahoney,40.0,Gunfire
David M. Sires,55.0,Gunfire
Robert Olinger,40.0,Gunfire
Cornelius N. Hendricks,44.0,Gunfire
Anthony Schaffer,54.0,Other
Hugh Burns,34.0,Gunfire
William R. Cruger,34.0,Gunfire
John Huebner,40.0,Gunfire
Samuel Townsend,33.0,Gunfire
Edward Newton Campbell,39.0,Gunfire
Daniel O'Connell,33.0,Gunfire
Leander Brown,34.0,Other
"Henry M. ""Muggins"" Taylor",52.0,Gunfire
Uel Musick,43.0,Gunfire
Samuel Joseph Lewis,25.0,Gunfire
John Louis Colvig,29.0,Gunfire
Richard Dobbyns Lane,28.0,Gunfire
Sam R. Murphee,27.0,Gunfire
John H. Spalding,47.0,Gunfire
John Elder,73.0,Other
McCray Robb,33.0,Gunfire
William T. Cate,53.0,Gunfire
Eldridge Blake,22.0,Gunfire
Kiv Phillips,26.0,Gunfire
Frederick D. Alderman,25.0,Gunfire
John J. Conway,30.0,Gunfire
Addison D. Wyser,38.0,Other
William A. Bergin,31.0,Gunfire
John D. Nelson,40.0,Gunfire
Marion D. Norton,22.0,Other
Absalom Kyle McCarty,40.0,Gunfire
"Jeremiah ""Jerry"" Lee",37.0,Gunfire
Patrick Jones,39.0,Gunfire
David Snodgrass,39.0,Gunfire
George S. Brown,32.0,Gunfire
Clarence E. Wright,25.0,Gunfire
James B. Day,25.0,Gunfire
Louis V. Wyckoff,52.0,Heart attack
Albert D. Sterling,29.0,Other
James Monroe Butler,29.0,Other
Henry Foote Walker,31.0,Gunfire
Carlos O. Farnsworth,60.0,Other
Addison Beck,38.0,Gunfire
William E. Fletcher,35.0,Gunfire
James S. Allen,61.0,Gunfire
Marhall E. Hensley,31.0,Gunfire
John W. Loveland,50.0,Heart attack
Daniel Weiser,59.0,Gunfire
Richard Comisky,32.0,Gunfire
James Bathurst,36.0,Gunfire
William Lawrence,63.0,Gunfire
Andrew H. Burt,54.0,Gunfire
William Henderson Foote,40.0,Gunfire
Baxter Stingley,38.0,Gunfire
Francis Mallon,35.0,Gunfire
William A. Clark,39.0,Gunfire
George C. Kimball,45.0,Gunfire
William J. Street,42.0,Other
Andrew W. Holbrook,52.0,Gunfire
August Hampe,35.0,Gunfire
Walter Coffin,29.0,Gunfire
Adolfo Celis,32.0,Other
Preston C. Rains,44.0,Gunfire
Albert Taylor Sheneman,37.0,Gunfire
Alonzo E. Bullard,36.0,Gunfire
Madison Gage,39.0,Other
George Freeman,36.0,Gunfire
George Brenner,44.0,Gunfire
John Coffee,57.0,Gunfire
William M. Dooley,44.0,Gunfire
Daniel Mahoney,40.0,Gunfire
Harlan Taylor,21.0,Gunfire
Peletiah M. Jenks,43.0,Gunfire
David J. Shipley,48.0,Gunfire
W. Clarence Brooks,38.0,Gunfire
Andrew J. Rock,32.0,Other
Cassius M. Hollister,39.0,Gunfire
Joseph T. Hackney,46.0,Gunfire
Henry Dilmus Hart,29.0,Other
Robert Laughlin,36.0,Gunfire
Martin Gorman,35.0,Gunfire
Michael Doran,40.0,Other
Casper Zweifel,37.0,Other
Eugene Barker,39.0,Gunfire
Thomas F. Malloy,41.0,Gunfire
John Nicholson,37.0,Other
Thomas C. Nixon,46.0,Gunfire
Jasper N. Corn,24.0,Gunfire
William M. Scudder,39.0,Gunfire
John M. Swearingen,39.0,Other
Charles W. Fisher,44.0,Other
Charles Albert Washburn,35.0,Gunfire
John Jefferson DeHart,43.0,Gunfire
Amos W. Markle,49.0,Other
Joseph Sturm,43.0,Other
Walter Raleigh Killion,37.0,Gunfire
James W. Lathrop,29.0,Gunfire
George L. Ball,57.0,Gunfire
John W. Phillips,57.0,Gunfire
James Edgar,37.0,Gunfire
James H. Black,35.0,Gunfire
Rufus R. Lishness,43.0,Gunfire
William H. H. Richards,43.0,Gunfire
Frank Piszczek,34.0,Gunfire
Walter Collins,28.0,Gunfire
Jesse Offut,44.0,Gunfire
Edgar Leary,35.0,Gunfire
John George Wisebaker,39.0,Other
George W. Taylor,59.0,Gunfire
John T. Van Doren,73.0,Gunfire
John Manning,20.0,Other
Henry Samuel Scherloh,25.0,Gunfire
John H. Fowler,41.0,Gunfire
W. T. Wise,22.0,Gunfire
Fletcher W. Smith,33.0,Gunfire
William J. Lucas,49.0,Gunfire
Albert Russell,23.0,Gunfire
Harry Stith,48.0,Other
Isaac L. Roberts,54.0,Gunfire
John J. Kohl,39.0,Gunfire
John Riley McNett,35.0,Gunfire
"Benjamin Goodin ""Ben"" Warren",42.0,Gunfire
